,0
0,Grand Vin
1,Zack’s Oak Bar & Restaurant
2,The Cuban Restaurant and Bar
3,Halifax
4,Del Frisco’s Grille
5,South Street Fish & Ramen Co
6,Tutta Pesca
7,La Isla Restaurant
8,House of Que
9,Keming Restaurant
10,Cooper’s Union
11,Anthony David’s
12,Gogi Grill - Hoboken
13,La Casa
14,Koro Koro
15,Onieals
16,Pilsener Haus & Biergarten
17,Moran’s
18,Union Hall
19,House of Que
20,Sorellina
21,Panello
22,Fiore Deli of Hoboken
23,Blue Eyes Restaurant
24,The Shepherd & the Knucklehead
25,Mamoun’s Falafel Restaurant
26,Frankie & Ava’s Italian Eatery
27,Onieals
28,Koro Koro
29,Hoboken Turtle Club
30,Sorellina
31,Pilsener Haus & Biergarten
32,Union Hall
33,Makai Poké
34,Blue Eyes Restaurant
35,Panello
36,Northern Soul
37,The Shepherd & the Knucklehead
38,Tenth Street Pasta & Pizza
39,Birch Hoboken
40,Fiore Deli of Hoboken
41,Mamoun’s Falafel Restaurant
42,Frankie & Ava’s Italian Eatery
43,Greektown
44,San Giuseppe
45,Empanadas Cafe
46,Ali Baba
47,Carpe Diem Pub & Restaurant
48,Elysian Cafe
49,Urban Coalhouse Pizza + Bar
50,Cafe Matt & Meera
51,Flatbread Grill
52,City Bistro
53,Cafe Matt & Meera
54,Okinawa Sushi & Grill
55,Cafe Matt & Meera
56,Quality Greens Kitchen
57,Napoli’s Pizza
58,City Bistro
59,Arthurs
60,Sushi Lounge
61,Lola’s
62,Grimaldi’s
63,Bareburger
64,Dino & Harrys Steakhouse
65,Lo-Fatt-Chow
66,Grubbs Take Away
67,Turning Point of Hoboken
68,Vivi Bubble Tea
69,T Thai
70,Cafe Michelina
71,Court Street Restaurant & Bar
72,th & Willow Bar & Grill
73,Gold Roast Cafe
74,Fran’s Italian Deli
75,Trattoria Saporito
76,The Stewed Cow
77,Grubbs Take Away
78,Midtown Philly Steaks
79,Napoli’s Brick Oven Pizza
80,Charrito’s
81,Lo-Fatt-Chow
82,th & Willow Bar & Grill
83,Charrito’s
84,GFG Bakery
85,Vito’s Italian Deli
86,Rosticeria Da Gigi
87,Sushi Lounge
88,Turning Point of Hoboken
89,Rosticeria Da Gigi
90,Midtown Philly Steaks
91,Sushi Lounge
92,Green Pear Cafe
93,Pho Nomenon Noodle & Grill
94,Sushi House
95,East LA
96,Chicken Factory
97,Losurdo’s Italian Bakery & Deli
98,Dozzino
99,East LA
100,Hot House Pizza
101,Precious Chinese Cuisine
102,Dozzino
103,Hot House Pizza
104,East LA
105,Wicked Wolf Tavern
106,Precious Chinese Cuisine
107,Tony Boloney’s
108,Piccolo’s
109,Sri Thai Thai Restaurant
110,Ultramarinos
111,Baja Mexican Cuisine
112,Tony Boloney’s
113,Leo’s Grandevous
114,Ultramarinos
115,Sri Thai Thai Restaurant
116,Benny Tudino’s Pizzeria
117,Schnackenberg’s Luncheonette
118,Baja Mexican Cuisine
119,Village Pourhouse
120,Number  Chinese Kitchen
121,Barbès Restaurant
122,Illuzion
123,Village Pourhouse
124,On the FlipSide
125,Illuzion
126,Surf Taco
127,Hotel Victor Bar & Grill
128,Angel’s Recipe Ice Cream & Crepes
129,Simply Juiced
130,Phoenix Bar and Grille
131,th Street Tavern
132,Mr Wraps
133,Ubu
134,Lisa’s Italian Deli
135,MONDO - DOGS
136,Malibu Diner
137,Stacks Pancake House & Cafefudatcsbudrqfscf
138,Bangkok City Thai Restaurant
139,Ubu
140,Ayame Hibachi & Sushi
141,Spa Diner
142,Mulligan’s
143,The Brick Fire Baked Pizza
144,Ayame Hibachi & Sushi
145,Pizzeria Hoboken
146,MONDO - DOGS
147,Bluestone Lane
148,The Little Grocery Downtown
149,McSwiggan’s Pub
150,D’s Soul Full Cafe
151,MONDO - DOGS
152,Rice Shop
153,Green Rock Tap & Grill
154,Little Market
155,La Bouche Cafe
156,Black Rail Coffee
157,Big Banner Restaurant
158,Giovanni’s Pizzeria & Restaurant
159,The Dubliner
160,Luca Brasi’s Deli
161,Farside Bar & Grill
162,Torna’s Pizzeria
163,McSwiggan’s Pub
164,Black Rail Coffee
165,The Little Grocery Downtown
166,Little Market
167,D’s Soul Full Cafe
168,Off the Wall Chinese Cuisine
169,Big Banner Restaurant
170,Cals Hotdogs
171,Cals Hotdogs
172,La Bouche Cafe
173,The Dubliner
174,Giovanni’s Pizzeria & Restaurant
175,Sunnyside Cafe & Eatery
176,Liberty Gourmet
177,Imposto’s Pizza
178,Raf Deli and Cafe
179,Domino’s
180,Luca Brasi’s Deli
181,Asia Sushi & Chinese Cuisine
182,Cluck U Chicken
183,Old Lorenzo’s Pizza
184,Uptown Pizzeria
185,Liberty Gourmet
186,The Little Grocery
187,Hoboken Hot Bagels
188,Raf Deli and Cafe
189,Imposto’s Pizza
190,Raf Deli and Cafe
191,Liberty Gourmet
192,Mill’s Tavern
193,Venti Pizza
194,Imposto’s Pizza
195,Wok To Walk
196,QDOBA Mexican Eats
197,Venti Pizza
198,Rome Pizzeria & Grill
199,Rome Pizzeria & Grill
200,Stars Pizzeria
201,Chen’s Kitchen
202,Chipotle Mexican Grill
203,Wings To Go - Hoboken
204,Chen’s Kitchen
205,Hoboken Arts and Music Festival
206,Bukhari Grill
207,Junior’s Papaya Grill
208,Bukhari Grill
209,Five-O Café
210,La Caseta
211,Gelato Summer Popup
212,Atomic Wings
213,Grande Pizza
214,Bona Pizza
215,Buona Pizza
216,Famous Pizza
217,Sabrett Hot Dog Stand @ Columbus Park
218,Texas BBQ
219,McDonald’s
220,Piccininni Salumaria
221,Sassos Deli & Liqour
222,Santa Fe Dog Express
223,Positouch Point of Sale Systems
224,Subway
225,Subway
